name,city,region,country
Microsoft,Redmond,WA,USA
Softqube Technologies,Gujarat,,INDIA
Accenture,Redwood City,CA,USA
SAP,Walldorf,,Germany
Symantec,Mountain View,CA,USA
VMware,Palo Alto,CA,USA
Fiserv,Brookfield,WI,USA
CA Technologies,Islandia,NY,USA
Intuit,Mountain View,CA,USA
Salesforce.com,San Francisco,CA,USA
Amadeus,Madrid,,Spain
Samsung Electronics,Suwon,,South Korea
Apple Inc.,Cupertino,CA,USA
Foxconn,New Taipei,,Taiwan
HP,Palo Alto,CA,USA
IBM,Armonk,NY,USA
Amazon.com,Seattle,WA,USA
Sony,Tokyo,,Japan
Google,Mountain View,CA,USA
Panasonic,Osaka,,Japan
Dell,Austin,TX,USA
Intel,Santa Clara,CA,USA
Toshiba,Tokyo,,Japan
LG,Seoul,,South Korea
