population,name,country,region,longitude,latitude
210700,Aberdeen,UK,Scotland,-2.083,57.150
1950000,Abidjan,Ivory Coast,"",-3.867,5.333
859640,Accra,Ghana,"",-0.200,5.550
"",Aconcagua,AR,"",-70.050,-32.417
1686300,Addis Abeba,Ethiopia,"",39.133,9.200
"",Adelboden,"","",7.583,46.500
176100,Aden,Yemen,"",44.967,12.967
"",Aerdt,"","",6.083,51.900
41200,Agrigento,IT,"",13.600,37.283
"",Aix-les-Bains,FR,"",5.950,45.717
101082,Albany,US,NY,-74.000,42.633
"",Alblasserwaard,NL,"",4.833,51.867
"",Albula Pass,"","",9.833,46.583
"",Alfold,"","",20.000,46.750
1507241,Algiers,DZ,"",3.033,36.783
"",Alkmaar,NL,"",4.717,52.617
"",Almelo,NL,"",6.667,52.350
"",Amapala,"","",-87.667,13.167
"",Amdabad,"","",72.633,23.050
"",Ameland,NL,"",5.750,53.467
"",Amersfoort,NL,"",5.383,52.150
936300,Amman,Jordania,"",35.983,31.983
"",Amoer,"","",136.833,50.000
"",Amstelveen,NL,"",4.833,52.333
696500,Amsterdam,NL,Noord-Holland,4.833,52.383
"",Andalsnes,"","",7.667,62.550
18463,Andorra,AD,"",1.567,42.533
"",Andros,GR,"",24.833,37.833
3485398,Los Angeles,US,CA,-118.333,34.017
"",Ankara,TR,"",33.000,39.967
479748,Antwerpen,BE,"",4.383,51.233
"",Apeldoorn,NL,"",5.967,52.217
"",Arnhem,NL,"",5.917,51.983
"",Ascension,"","",-14.667,-8.000
"",Assam,"","",94.000,26.000
"",Assen,NL,"",6.550,52.983
"",Asuncion,"","",-57.583,-25.250
885737,Athinai,GR,"",23.783,37.983
"",Attu,"","",173.000,53.500
"",Azow,"","",39.383,47.000
"",Baarn,NL,"",5.283,52.200
"",Bagdad,IQ,"",44.500,33.300
1714355,Barcelona,ES,"",2.167,41.367
6710000,Beijing,CN,"",116.500,40.000
"",Beirut,"","",35.533,33.900
"",Beograd,"","",20.500,44.800
"",Bergen op Zoom,NL,"",4.317,51.483
3461421,Berlin,DE,Berlin,13.383,52.517
134393,Bern,CH,"",7.950,46.950
"",Beverwijk,NL,"",4.667,52.467
384733,Bilbao,ES,"",-2.967,43.283
1013995,Birmingham,UK,England,-1.917,52.483
"",Bogota,CO,"",-74.500,4.500
"",Bolsward,NL,"",5.517,53.050
8243405,Bombay,IN,"",72.917,19.000
296859,Bonn,DE,Nordrhein-Westfalen,7.10,50.73
574283,Boston,US,MA,-71.083,42.417
1567709,Brasilia,BR,"",-48.000,-15.333
"",Breda,NL,"",4.800,51.567
413861,Bristol,UK,England,-2.567,51.467
136920,Bruxelles,BE,"",4.350,50.850
"",Budapest,HU,"",19.000,47.533
2922829,Buenos Aires,AR,"",-58.500,-34.667
6052836,Cairo,EG,"",31.217,30.017
3305006,Calcutta,IN,"",88.500,22.533
636104,Calgary,CA,Alberta,-114.033,51.167
"",Caracas,VE,"",-66.983,10.517
2783726,Chicago,US,IL,-87.750,41.833
505616,Cleveland,US,OH,-81.500,41.500
"",Cognac,FR,"",-0.333,45.667
"",Colombo,LK,"",79.967,6.967
"",Corse,FR,"",9.000,42.250
1006877,Dallas,US,TX,-96.833,32.833
"",Dar Es Salaam,"","",39.667,-6.833
"",Delft,NL,"",4.367,52.000
4884234,Delhi,IN,"",77.300,28.583
467610,Denver,US,CO,-104.983,39.717
"",Deventer,NL,"",6.167,52.250
"",Dordrecht,NL,"",4.667,51.800
601966,Dortmund,DE,Nordrhein-Westfalen,7.45,51.53
"",Drachten,NL,"",6.100,53.100
502749,Dublin,IE,"",-6.250,53.350
433200,Edinburgh,UK,Scotland,-3.183,55.950
573982,Edmonton,CA,Alberta,-113.417,53.583
190700,Eindhoven,NL,"",5.500,51.433
45000,Eisenach,DE,Thueringen,10.300,50.983
"",Emmen,NL,"",6.883,52.783
"",Enschede,NL,"",6.883,52.217
659803,Frankfurt/Main,DE,Hessen,8.68,50.10
83850,Frankfurt/Oder,DE,Brandenburg,14.53,52.33
233856,Gent,BE,"",3.733,51.083
695630,Glasgow,UK,Scotland,-4.267,55.867
"",Gouda,NL,"",4.717,51.017
167800,Groningen,NL,"",6.567,53.217
"",Guam,"","",144.000,13.000
"",Haarlem,NL,"",4.650,52.367
"",La Habana,CU,"",-82.500,23.000
"",Haiderabad,"","",78.467,17.267
1704534,Hamburg,DE,Hamburg,10.00,53.55
2708,Hammerfest,NO,"",23.667,70.667
